Project,Trip,StationID,Profiler in [DateUTC],Profiler in [TimeUTC],Profiler out [TimeUTC],Profiler in [Lat],Profiler in [Lon],Filename,InstrumentType,,,Cast Depth Screen (m),Depth Sounder (m),Total Depth (m),Comment,UWA Bottles,LISST Raw Filename,,LISST NC Filename,,UWA Niskin Bottle No. + Depth (m)
KISSME2017,KISSME2017Deployment,BRD200,31/03/2017,4:30,,,,BRD200,Solander CTD,,,,200,202,,,L0900428,,L0900428_rs,,
KISSME2017,KISSME2017Deployment,BRD200,31/03/2017,5:32,5:39,,,BRD200A_001,Solander CTD,,,210,219,221,Falling Tide (500m),,L0900523,,L0900523_rs,,
KISSME2017,KISSME2017Deployment,BRD200,31/03/2017,5:55,6:09,,,BRD200A_002,Solander CTD,,,237.5,247,249,"(1000m), changed LISST set to 1 MA from 1 MA",,L0900554,,L0900554_rs,,
KISSME2017,KISSME2017Deployment,BRD200,31/03/2017,6:14,6:29,,,BRD200A_003,Solander CTD,,,248.8,256,258,,,L0900613,,L0900613_rs,,
KISSME2017,KISSME2017Deployment,BRD200,31/03/2017,6:32,6:49,,,BRD200A_004,Solander CTD,,,256.5,264,266,,,L0900632,,L0900632-A_rs,,
KISSME2017,KISSME2017Deployment,BRD200,31/03/2017,6:53,7:14,,,BRD200A_005,Solander CTD,,,246,270,272,,,L0900632,,L0900632-B_rs,,
KISSME2017,KISSME2017Deployment,BRD200,31/03/2017,7:19,7:36,,,BRD200A_006,Solander CTD,,,261.5,275,277,,,L0900632,,L0900632-C_rs,,
KISSME2017,KISSME2017Deployment,BRD200,31/03/2017,7:40,7:59,,,BRD200A_007,Solander CTD,,,268,277,279,1000m apart,,L0900739,,L0900739_rs,,
KISSME2017,KISSME2017Deployment,BRD200,31/03/2017,8:05,8:26,,,BRD200A_008,Solander CTD,,,271.5,286,288,,,L0900803,,L0900803_rs,,
KISSME2017,KISSME2017Deployment,BRD200,31/03/2017,8:29,,,,BRD200A_009,Solander CTD,,,279,289,291,,,L0900828,,L0900828_rs,,
KISSME2017,KISSME2017Deployment,SP250,1/04/2017,3:38,3:54,,,SP250_001,Solander CTD,,,249.5,259,261,"Sediment Grab, LISST set to 32 MA, CSIRO 5 bottles",,L0910335,,L0910335_rs,,
KISSME2017,KISSME2017Deployment,SP250,1/04/2017,8:02,8:19,,,SP250_002,Solander CTD,,,249,258,260,CSIRO 5 bottles,,L0910740,,L0910740_rs,,
