Project,Trip,StationID,Date,Filename,CTD in [UTC],CTD out [UTC],Cast Depth Screen (m),Depth Sounder (m),Total Depth Sounder depth plus 2m Xduser offset (m),UWA Niskin Bottle No. + Depth (m),UWA Bottles,LISST Raw Filename,Comment,LISST NC Filename
KISSME2017,KISSME2017Deployment,,31/03/2017,BRD200,4:30,,,200,202,,,L0900428,,L0900428_rs
KISSME2017,KISSME2017Deployment,,31/03/2017,BRD200A_001,5:32,5:39,210,219,221,,,L0900523,Falling Tide (500m),L0900523_rs
KISSME2017,KISSME2017Deployment,,31/03/2017,BRD200A_002,5:55,6:09,237.5,247,249,,,L0900554,"(1000m), changed LISST set to 1 MA from 1 MA",L0900554_rs
KISSME2017,KISSME2017Deployment,,31/03/2017,BRD200A_003,6:14,6:29,248.8,256,258,,,L0900613,,L0900613_rs
KISSME2017,KISSME2017Deployment,,31/03/2017,BRD200A_004,6:32,6:49,256.5,264,266,,,L0900632,,L0900632-A_rs
KISSME2017,KISSME2017Deployment,,31/03/2017,BRD200A_005,6:53,7:14,246,270,272,,,L0900632,,L0900632-B_rs
KISSME2017,KISSME2017Deployment,,31/03/2017,BRD200A_006,7:19,7:36,261.5,275,277,,,L0900632,,L0900632-C_rs
KISSME2017,KISSME2017Deployment,,31/03/2017,BRD200A_007,7:40,7:59,268,277,279,,,L0900739,1000m apart,L0900739_rs
KISSME2017,KISSME2017Deployment,,31/03/2017,BRD200A_008,8:05,8:26,271.5,286,288,,,L0900803,,L0900803_rs
KISSME2017,KISSME2017Deployment,,31/03/2017,BRD200A_009,8:29,,279,289,291,,,L0900828,,L0900828_rs
KISSME2017,KISSME2017Deployment,,1/04/2017,SP250_001,3:38,3:54,249.5,259,261,,,L0910335,"Sediment Grab, LISST set to 32 MA, CSIRO 5 bottles",L0910335_rs
KISSME2017,KISSME2017Deployment,,1/04/2017,SP250_002,8:02,8:19,249,258,260,,,L0910740,CSIRO 5 bottles,L0910740_rs
KISSME2017,KISSME2017Deployment,,2/04/2017,WP250_001,1:12,1:34,245,257,259,"245(1), 229 (2), 220 (3), 211 (4), 194 (5), 186 (6), 174 (7)",Y,L0920107,"CSIRO 5 bottles, UWA 7 bottles",L0920107_rs
KISSME2017,KISSME2017Deployment,,2/04/2017,NP250_001,4:12,4:32,250,260,262,,,L0920407,,L0920407_rs
KISSME2017,KISSME2017Deployment,,2/04/2017,NP250_002,5:11,5:31,250,260,262,"250 (1), 234 (2), 222 (3), 210 (4), 197 (5), 180 (6), 173 (7)",Y,L0920507,"CSIRO 5 bottles, UWA 7 bottles",L0920507_rs
KISSME2017,KISSME2017Deployment,,2/04/2017,SP250_12hr_001,22:58,23:11,244,258,260,,,L0922253,LISST had faulty pressure sensor,L0922253-A_rs
KISSME2017,KISSME2017Deployment,,2/04/2017,SP250_12hr_002,23:13,23:25,252,259,261,,,L0922253,"Drifted past F.O cable (pt. 641), LISST had faulty pressure sensor",L0922253-B_rs
KISSME2017,KISSME2017Deployment,,2/04/2017,SP250_12hr_003,23:37,23:49,248,256,258,"248 (1), 233 (2), 218 (3), 202 (4), 187 (5)",Y,L0922253,"UWA 5 bottles, LISST had faulty pressure sensor",L0922253-C_rs
KISSME2017,KISSME2017Deployment,,3/04/2017,SP250_12hr_004,0:53,1:03,244,256,258,,,L0930048,,L0930048-A_rs
KISSME2017,KISSME2017Deployment,,3/04/2017,SP250_12hr_005,1:05,1:15,245,255,257,,,L0930048,,L0930048-B_rs
KISSME2017,KISSME2017Deployment,,3/04/2017,SP250_12hr_006,1:16,1:29,245,254,256,,,L0930048,CSIRO 5 bottles,L0930048-C_rs
KISSME2017,KISSME2017Deployment,,3/04/2017,SP250_12hr_007,3:04,3:19,247,257,259,,,L0930301,,L0930301-A_rs
KISSME2017,KISSME2017Deployment,,3/04/2017,SP250_12hr_008,3:20,3:33,246,257,259,,,L0930301,,L0930301-B_rs
KISSME2017,KISSME2017Deployment,,3/04/2017,SP250_12hr_009,3:39,3:58,248,257,259,"248 (1), 230 (2), 215 (3), 200 (4+5), 189 (6+7)",Y,L0930301,UWA 7 bottles,L0930301-C_rs
KISSME2017,KISSME2017Deployment,,3/04/2017,SP250_12hr_010,4:58,5:10,248,258,260,,,L0930457,,L0930457-A_rs
KISSME2017,KISSME2017Deployment,,3/04/2017,SP250_12hr_011,5:13,5:24,247,258,260,,,L0930457,,L0930457-B_rs
KISSME2017,KISSME2017Deployment,,3/04/2017,SP250_12hr_012,5:33,5:45,248,258,260,,,L0930457,CSIRO 5 bottles,L0930457-C_rs
KISSME2017,KISSME2017Deployment,,3/04/2017,SP250_12hr_013,7:01,7:14,249,258,260,,,L0930640,,L0930640-A_rs
KISSME2017,KISSME2017Deployment,,3/04/2017,SP250_12hr_014,7:15,7:26,250,258,260,,,L0930640,,L0930640-B_rs
KISSME2017,KISSME2017Deployment,,3/04/2017,SP250_12hr_015,7:31,7:47,250,258,260,"248 (1), 233 (2), 219 (3), 203 (4+5), 188 (6+7)",Y,L0930640,"UWA 7 bottles, kept some unfiltered water",L0930640-C_rs
KISSME2017,KISSME2017Deployment,,3/04/2017,SP250_12hr_016,9:03,9:17,250,255,257,,,L0930839,,L0930839-A_rs
KISSME2017,KISSME2017Deployment,,3/04/2017,SP250_12hr_017,9:18,9:28,250,256,258,,,L0930839,,L0930839-B_rs
KISSME2017,KISSME2017Deployment,,3/04/2017,SP250_12hr_018,9:32,9:47,248,256,258,,,L0930839,CSIRO 1 bottle (bottom),L0930839-C_rs
KISSME2017,KISSME2017Deployment,,4/04/2017,UWAB-001,1:16,1:33,245,254,256,,,L0940112,"UWAB refers to 250m shelf break, sediment Grab, CSIRO 6 bottles",L0940112_rs
KISSME2017,KISSME2017Deployment,,4/04/2017,UWAB-002,2:14,2:28,249,254,256,,,L0940213,,L0940213-A_rs
KISSME2017,KISSME2017Deployment,,4/04/2017,UWAB-003,2:29,2:39,249,256,258,,,L0940213,,L0940213-B_rs
KISSME2017,KISSME2017Deployment,,4/04/2017,UWAB-004,2:40,2:50,248,256,258,,,L0940213,,L0940213-C_rs
KISSME2017,KISSME2017Deployment,,4/04/2017,UWAB-005,2:52,3:03,249,256,258,,,L0940213,,L0940213-D_rs
KISSME2017,KISSME2017Deployment,,4/04/2017,UWAB-006,3:03,3:13,249,256,258,,,L0940213,,L0940213-E_rs
KISSME2017,KISSME2017Deployment,,4/04/2017,UWAB-007,3:24,3:41,256,266,268,,,L0940213,CSIRO 6 bottles,L0940213-F_rs
KISSME2017,KISSME2017Deployment,,4/04/2017,UWAB-008,5:01,5:17,247,256,258,,,L0940500,CSIRO 6 bottles,L0940500_rs
KISSME2017,KISSME2017Deployment,,4/04/2017,UWAB-009,6:06,6:20,247,257,259,,,L0940600,,L0940600-A_rs
KISSME2017,KISSME2017Deployment,,4/04/2017,UWAB-010,6:21,6:32,248,257,259,,,L0940600,,L0940600-B_rs
KISSME2017,KISSME2017Deployment,,4/04/2017,UWAB-011,6:32,6:43,247,257,259,,,L0940600,,L0940600-C_rs
KISSME2017,KISSME2017Deployment,,4/04/2017,UWAB-012,6:44,7:01,248,258,260,"248 (1), 221 (2), 211 (3), 180 (4), 155 (5), 125 (6)",,L0940600,UWA 6 bottles,L0940600-D_rs
KISSME2017,KISSME2017Deployment,,4/04/2017,UWAB-013,7:23,7:37,248,259,261,,,L0940712,Intensive Profiling,L0940712-A_rs
KISSME2017,KISSME2017Deployment,,4/04/2017,UWAB-014,7:38,7:49,248,258,260,,,L0940712,,L0940712-B_rs
KISSME2017,KISSME2017Deployment,,4/04/2017,UWAB-015,7:50,8:00,246,257,259,,,L0940712,,L0940712-C_rs
KISSME2017,KISSME2017Deployment,,4/04/2017,UWAB-016,8:01,8:14,250,258,260,,,L0940712,,L0940712-D_rs
KISSME2017,KISSME2017Deployment,,5/04/2017,UWAB-Transect-001,0:50,1:05,148,153,155,,,L0950035,"Site B1, CSIRO 6 bottles",L0950035_rs
KISSME2017,KISSME2017Deployment,,5/04/2017,UWAB-Transect-002,1:56,2:09,152,153,155,"152 (1+2), 122 (3+4), 90 (5+6), 61 (7+8), 30 (9+10)",,L0950139,UWA 10 bottles,L0950139_rs
KISSME2017,KISSME2017Deployment,,5/04/2017,UWAB-Transect-003,3:04,3:20,174,178,180,,,L0950303,"Site B2, CSIRO 6 bottles",L0950303_rs
KISSME2017,KISSME2017Deployment,,5/04/2017,UWAB-Transect-004,4:31,4:44,193,202,204,,,L0950414,Site B3,L0950414_rs
KISSME2017,KISSME2017Deployment,,5/04/2017,UWAB-Transect-005,5:22,5:39,220,230,232,,,L0950511,"Site B4,CSIRO 6 bottles",L0950511_rs
KISSME2017,KISSME2017Deployment,,5/04/2017,UWAB-Transect-006,6:26,6:46,224,231,233,"224 (1), 193.5 (2), 179 (3), 159 (4), 126.5 (5)",,L0950619,UWA 5 bottles,L0950619_rs
KISSME2017,KISSME2017Deployment,,5/04/2017,UWAB-Transect-007,7:28,7:44,241,252,254,,,L0950714,Site B5,L0950714_rs
KISSME2017,KISSME2017Deployment,,5/04/2017,SP250_12hr_neap_001,22:21,22:34,248,259,261,,,L0952219,LISST rectified to prevent 3s warmup i.e. now samples at 1Hz,L0952219-A_rs
