Project,StationID,Trip Recovered,Longitude,Latitude,Depth,TimeZone,Site,InstrumentDepth,FileName,FilePath,InstrumentType,SerialNo,InstrumentHeight,DeploymentHeight,Orientation,SidelobeInt,Comment
RS2019,T330,RS19_REC,118.98713,-17.77761,331,UTC,Rowley Shoals,-328.1,SBE05607374_2019-04-24,raw_data/T330/SBE56,SBE56 T,7374,2.9,2.9,,,
RS2019,T330,RS19_REC,118.98713,-17.77761,331,UTC,Rowley Shoals,-325.5,T330_000.000,raw_data\T330\ADCP,RDI75 kHz Longranger,16870,5.5,5.5,up,pressure,
RS2019,T330,RS19_REC,118.98713,-17.77761,331,UTC,Rowley Shoals,-31,SBE37SM-RS232_03712739_2019_04_24.cnv,raw_data\T330\SBE37,SBE37 CTD,12739,10,10,,,
RS2019,T330,RS19_REC,118.98713,-17.77761,331,UTC,Rowley Shoals,-41,SBE05607403_2019-04-24.cnv,raw_data/T330/SBE56,SBE56 T,7403,15,15,,,
RS2019,T330,RS19_REC,118.98713,-17.77761,331,UTC,Rowley Shoals,-51,39_4455_20190424_cleaned.asc,raw_data\T330\SBE39,SBE39 T,4455,20,20,,,
RS2019,T330,RS19_REC,118.98713,-17.77761,331,UTC,Rowley Shoals,-60.822,39_3753_20190425.asc,raw_data\T330\SBE39,SBE39 T,3753,30,30,,,
RS2019,T330,RS19_REC,118.98713,-17.77761,331,UTC,Rowley Shoals,-71,SBE37SM-RS232_03712738_2019_04_24.cnv,aw_data\T330\SBE37,SBE37 CTD,12738,40,40,,,
RS2019,T330,RS19_REC,118.98713,-17.77761,331,UTC,Rowley Shoals,-81,39_3752_20190424.asc,raw_data\T330\SBE39,SBE39 T,3752,50,50,,,
RS2019,T330,RS19_REC,118.98713,-17.77761,331,UTC,Rowley Shoals,-91,39_3750_20190424.asc,raw_data\T330\SBE39,SBE39 T,3750,60,60,,,
RS2019,T330,RS19_REC,118.98713,-17.77761,331,UTC,Rowley Shoals,-101,39_3749_20190424.asc,raw_data\T330\SBE39,SBE39 T,3749,70,70,,,
RS2019,T330,RS19_REC,118.98713,-17.77761,331,UTC,Rowley Shoals,-111,39_3747_20190424.asc,raw_data\T330\SBE39,SBE39 T,3747,80,80,,,
RS2019,T330,RS19_REC,118.98713,-17.77761,331,UTC,Rowley Shoals,-121,39_3731_20190424.asc,raw_data\T330\SBE39,SBE39 T,3731,90,90,,,
RS2019,T330,RS19_REC,118.98713,-17.77761,331,UTC,Rowley Shoals,-131,39_3730_20190424.asc,raw_data\T330\SBE39,SBE39 T,3730,100,100,,,
RS2019,T330,RS19_REC,118.98713,-17.77761,331,UTC,Rowley Shoals,-141,39_3729_20190424.asc,raw_data\T330\SBE39,SBE39 T,3729,110,110,,,
RS2019,T330,RS19_REC,118.98713,-17.77761,331,UTC,Rowley Shoals,-151,39_4456_20190424.asc,raw_data\T330\SBE39,SBE39 T,4456,120,120,,,
RS2019,T330,RS19_REC,118.98713,-17.77761,331,UTC,Rowley Shoals,-161,39_3723_20190424.asc,raw_data\T330\SBE39,SBE39 T,3723,130,130,,,
RS2019,T330,RS19_REC,118.98713,-17.77761,331,UTC,Rowley Shoals,-171,39_6527_20190424.asc,raw_data\T330\SBE39,SBE39 TP,6527,140,140,,,
RS2019,T330,RS19_REC,118.98713,-17.77761,331,UTC,Rowley Shoals,-181.5,39_3728_20190424.asc,raw_data\T330\SBE39,SBE39 T,3728,150,150,,,
RS2019,T330,RS19_REC,118.98713,-17.77761,331,UTC,Rowley Shoals,-191,39_3727_20190424.asc,raw_data\T330\SBE39,SBE39 T ,3727,160,160,,,
